Timestamp,Location,Crime Type,Crime Count,Population Density,Police Presence
2020-03-09,Delhi,Vandalism,31,26094,High
2020-03-09,Kolkata,Burglary,33,19831,Low
2020-03-09,Bengaluru,Vandalism,1,26564,Medium
2020-03-09,Bengaluru,Assault,24,26032,Low
2020-03-11,Delhi,Burglary,16,13734,Medium
2020-03-12,Chennai,Fraud,46,10204,Medium
2020-03-13,Chennai,Burglary,41,21595,Low
2020-03-13,Chennai,Burglary,18,15392,Low
2020-03-13,Kolkata,Assault,45,17611,Low
2020-03-13,Mumbai,Vandalism,13,17092,Medium
2020-03-13,Delhi,Assault,21,7461,High
2020-03-13,Chennai,Vandalism,15,5886,Low
2020-03-13,Bengaluru,Vandalism,23,22518,Low
2020-03-14,Mumbai,Assault,46,13366,High
2020-03-14,Delhi,Burglary,9,26594,High
2020-03-15,Mumbai,Vandalism,5,24682,Low
2020-03-15,Delhi,Assault,37,2504,Low
2020-03-15,Delhi,Assault,15,1749,Medium
2020-03-15,Chennai,Fraud,24,16062,Low
2020-03-15,Bengaluru,Fraud,9,21874,Medium
2020-03-15,Mumbai,Fraud,6,24136,Medium
2020-03-16,Chennai,Vandalism,12,16941,High
2020-03-16,Bengaluru,Fraud,11,28369,Low
2020-03-16,Kolkata,Vandalism,5,7918,Low
2020-03-17,Delhi,Vandalism,8,17592,Low
2020-03-17,Mumbai,Assault,18,28630,Medium
2020-03-18,Mumbai,Theft,36,16698,Medium
2020-03-18,Mumbai,Vandalism,4,26317,Low
2020-03-18,Delhi,Vandalism,16,20845,High
2020-03-18,Kolkata,Fraud,33,15602,High
2020-03-19,Bengaluru,Vandalism,17,3484,Medium
2020-03-19,Kolkata,Fraud,2,12001,Low
2020-03-19,Bengaluru,Vandalism,9,7077,Low
2020-03-20,Delhi,Vandalism,20,16346,Low
2020-03-21,Kolkata,Burglary,40,17163,Medium
2020-03-22,Bengaluru,Assault,12,12446,Low
2020-03-22,Chennai,Theft,44,23507,Low
2020-03-22,Chennai,Fraud,11,9148,Medium
2020-03-22,Chennai,Theft,26,3064,Low
2020-03-23,Kolkata,Assault,14,9678,High
2020-03-23,Kolkata,Assault,24,25378,Low
2020-03-23,Kolkata,Theft,34,15291,Low
2020-03-23,Delhi,Vandalism,45,15570,Medium
2020-03-23,Kolkata,Vandalism,12,3919,Low
2020-03-24,Mumbai,Assault,22,27282,Medium
2020-03-24,Bengaluru,Fraud,29,25655,High
2020-03-25,Mumbai,Fraud,41,2431,Low
2020-03-26,Mumbai,Fraud,49,12186,Low
2020-03-26,Chennai,Assault,5,6013,Medium
2020-03-26,Bengaluru,Theft,41,10005,High
2020-03-27,Chennai,Assault,3,13651,Medium
2020-03-27,Bengaluru,Vandalism,41,17070,Low
2020-03-27,Mumbai,Assault,7,4807,Medium
2020-03-27,Kolkata,Assault,43,28001,High
2020-03-27,Delhi,Vandalism,17,9673,Low
2020-03-28,Mumbai,Assault,5,7546,High
2020-03-28,Mumbai,Theft,22,18911,Low
2020-03-28,Bengaluru,Vandalism,32,18753,High
2020-03-28,Bengaluru,Vandalism,21,12622,High
2020-03-29,Mumbai,Theft,34,12766,Low
2020-03-29,Mumbai,Fraud,46,7697,High
2020-03-30,Bengaluru,Vandalism,43,8983,Low
2020-03-30,Delhi,Theft,15,26165,Medium
2020-03-30,Bengaluru,Assault,40,3080,Low
2020-03-30,Kolkata,Theft,1,25243,Low
2020-03-30,Chennai,Assault,25,7855,Low
2020-03-30,Mumbai,Theft,13,9794,Low
2020-03-31,Delhi,Assault,27,17770,High
2020-04-01,Delhi,Theft,37,11515,High
2020-04-01,Chennai,Burglary,40,25387,Low
2020-04-01,Mumbai,Assault,49,7677,Low
2020-04-01,Delhi,Burglary,35,10028,Low
2020-04-01,Delhi,Fraud,38,10467,Medium
2020-04-01,Delhi,Vandalism,31,14948,High
2020-04-02,Bengaluru,Vandalism,47,24519,High
2020-04-02,Delhi,Assault,10,19961,Medium
2020-04-02,Bengaluru,Theft,31,18551,High
2020-04-02,Bengaluru,Burglary,14,27168,High
2020-04-02,Bengaluru,Burglary,47,29999,Low
2020-04-02,Bengaluru,Assault,26,10727,High
2020-04-03,Mumbai,Theft,24,10215,High
2020-04-04,Chennai,Vandalism,3,21905,Low
2020-04-04,Delhi,Fraud,24,20507,High
2020-04-04,Kolkata,Vandalism,31,1885,Medium
2020-04-04,Kolkata,Assault,18,25815,High
2020-04-05,Mumbai,Vandalism,41,8731,High
2020-04-05,Bengaluru,Theft,39,13333,Medium
2020-04-05,Bengaluru,Vandalism,19,1707,Low
2020-04-05,Bengaluru,Vandalism,42,16105,High
2020-04-06,Mumbai,Vandalism,8,5284,High
2020-04-07,Bengaluru,Assault,9,18171,Low
2020-04-07,Bengaluru,Vandalism,31,12156,Medium
2020-04-07,Mumbai,Vandalism,38,24169,High
2020-04-07,Delhi,Burglary,7,1829,Low
2020-04-08,Chennai,Burglary,35,9614,High
2020-04-08,Chennai,Fraud,27,10631,High
2020-04-08,Mumbai,Burglary,46,10239,Low
2020-04-08,Kolkata,Fraud,6,1925,Medium
2020-04-09,Delhi,Fraud,18,13862,Medium
2020-04-09,Bengaluru,Theft,48,14216,Medium
2020-04-10,Kolkata,Theft,8,27648,High
2020-04-10,Bengaluru,Fraud,38,4796,Low
2020-04-11,Delhi,Burglary,36,16707,Low
2020-04-11,Delhi,Theft,31,4008,Medium
2020-04-11,Bengaluru,Fraud,2,23232,High
2020-04-12,Chennai,Assault,18,1185,Medium
2020-04-12,Delhi,Burglary,37,12253,Medium
2020-04-13,Delhi,Fraud,33,8500,Medium
2020-04-13,Bengaluru,Assault,13,16299,Low
2020-04-13,Kolkata,Fraud,47,14054,Medium
2020-04-13,Mumbai,Fraud,5,20494,High
2020-04-13,Chennai,Assault,32,27533,Low
2020-04-13,Kolkata,Fraud,1,24459,Medium
2020-04-14,Mumbai,Burglary,7,15895,Medium
2020-04-14,Chennai,Theft,20,15581,High
2020-04-14,Delhi,Vandalism,24,10544,High
2020-04-14,Kolkata,Assault,44,1604,Medium
2020-04-15,Delhi,Fraud,20,28482,Medium
2020-04-15,Kolkata,Theft,29,5069,Medium
2020-04-16,Delhi,Fraud,10,12995,Medium
2020-04-17,Kolkata,Assault,18,26977,Medium
2020-04-17,Kolkata,Theft,48,15705,High
2020-04-18,Mumbai,Assault,26,6618,High
2020-04-18,Bengaluru,Burglary,32,27447,High
2020-04-18,Mumbai,Burglary,7,8595,High
2020-04-18,Delhi,Burglary,36,7761,Low
2020-04-18,Chennai,Theft,11,22957,Low
2020-04-20,Mumbai,Burglary,15,1135,High
2020-04-20,Kolkata,Assault,16,24097,Medium
2020-04-20,Chennai,Vandalism,34,8739,High
2020-04-20,Mumbai,Fraud,39,15687,High
2020-04-20,Bengaluru,Theft,38,16763,High
2020-04-20,Kolkata,Burglary,8,1325,Medium
2020-04-21,Mumbai,Assault,43,12518,High
2020-04-21,Delhi,Vandalism,18,14341,Medium
2020-04-22,Mumbai,Burglary,45,9551,Low
2020-04-22,Delhi,Fraud,25,9400,Medium
2020-04-22,Chennai,Fraud,46,24672,High
2020-04-22,Bengaluru,Assault,15,3030,High
2020-04-22,Delhi,Theft,25,28139,High
2020-04-22,Mumbai,Burglary,15,14820,Medium
2020-04-23,Mumbai,Assault,11,5240,Low
2020-04-23,Kolkata,Vandalism,20,18885,Low
2020-04-23,Mumbai,Vandalism,30,6970,Low
2020-04-23,Bengaluru,Assault,25,5049,Low
2020-04-23,Kolkata,Fraud,10,4205,High
2020-04-24,Bengaluru,Theft,38,11301,Medium
2020-04-24,Mumbai,Fraud,15,28808,High
2020-04-24,Delhi,Fraud,48,22378,Medium
2020-04-25,Mumbai,Theft,48,17122,Medium
2020-04-25,Delhi,Theft,14,10650,Low
2020-04-25,Delhi,Vandalism,19,14394,Low
2020-04-25,Kolkata,Theft,25,1076,Medium
2020-04-25,Bengaluru,Vandalism,17,9835,High
2020-04-26,Delhi,Theft,26,27639,Low
2020-04-26,Chennai,Theft,15,6239,High
2020-04-26,Chennai,Theft,24,7864,Low
2020-04-27,Delhi,Fraud,48,21842,Medium
2020-04-27,Delhi,Vandalism,19,12236,Medium
2020-04-27,Delhi,Theft,3,12817,Medium
2020-04-27,Chennai,Vandalism,39,21577,High
2020-04-27,Kolkata,Fraud,42,13470,High
2020-04-28,Delhi,Assault,10,5481,High
2020-04-28,Mumbai,Fraud,20,26146,High
2020-04-28,Kolkata,Assault,26,7369,Low
2020-04-29,Bengaluru,Fraud,18,20081,Low
2020-04-30,Kolkata,Burglary,43,17383,Low
2020-05-01,Kolkata,Fraud,2,11673,Low
2020-05-01,Chennai,Burglary,4,3930,Low
2020-05-01,Mumbai,Assault,15,4411,High
2020-05-01,Mumbai,Theft,7,12888,High
2020-05-01,Bengaluru,Fraud,23,16904,Medium
2020-05-02,Bengaluru,Theft,31,27297,Medium
2020-05-02,Bengaluru,Burglary,29,20757,Medium
2020-05-03,Bengaluru,Burglary,30,14882,Medium
2020-05-03,Delhi,Assault,1,9972,Low
2020-05-03,Delhi,Burglary,35,12439,High
2020-05-03,Mumbai,Vandalism,21,27685,Low
2020-05-03,Chennai,Fraud,15,1535,Low
2020-05-04,Bengaluru,Assault,16,16378,Medium
2020-05-04,Kolkata,Vandalism,38,26676,Low
2020-05-04,Bengaluru,Fraud,22,16072,Medium
2020-05-05,Bengaluru,Assault,45,28584,Low
2020-05-05,Mumbai,Assault,18,16723,Low
2020-05-05,Bengaluru,Burglary,44,8059,High
2020-05-05,Delhi,Assault,8,28794,Low
2020-05-05,Chennai,Burglary,49,28130,High
2020-05-06,Mumbai,Fraud,17,28315,Low
2020-05-06,Delhi,Vandalism,18,2683,Medium
2020-05-07,Chennai,Vandalism,20,10940,Low
2020-05-07,Chennai,Burglary,19,29300,Medium
2020-05-07,Delhi,Fraud,26,6050,High
2020-05-07,Bengaluru,Burglary,49,10218,Low
2020-05-07,Chennai,Fraud,37,27436,High
2020-05-08,Kolkata,Fraud,38,7306,Medium
2020-05-08,Chennai,Burglary,38,6180,Low
2020-05-08,Delhi,Vandalism,48,10276,High
2020-05-08,Mumbai,Assault,9,5138,Low
2020-05-09,Mumbai,Fraud,9,7288,Low
2020-05-09,Chennai,Burglary,17,6064,High
2020-05-09,Mumbai,Assault,37,3781,Medium
2020-05-09,Chennai,Theft,6,8765,Medium
2020-05-10,Kolkata,Vandalism,28,1598,Medium
2020-05-10,Chennai,Theft,39,25332,High
2020-05-10,Kolkata,Assault,30,5854,Low
2020-05-10,Bengaluru,Theft,19,1976,Low
2020-05-11,Mumbai,Fraud,11,2571,Low
2020-05-11,Delhi,Theft,45,27919,Low
2020-05-11,Mumbai,Burglary,31,12114,Low
2020-05-11,Kolkata,Theft,13,2340,Medium
2020-05-12,Delhi,Assault,4,20906,High
2020-05-12,Mumbai,Assault,31,21645,High
2020-05-12,Delhi,Fraud,42,3844,Low
2020-05-13,Kolkata,Vandalism,23,20675,High
2020-05-13,Chennai,Theft,20,20228,High
2020-05-14,Mumbai,Fraud,36,21147,Medium
2020-05-14,Bengaluru,Vandalism,37,4822,Medium
2020-05-15,Mumbai,Assault,34,6761,Low
2020-05-16,Kolkata,Theft,34,11213,Low
2020-05-16,Chennai,Theft,37,1945,High
2020-05-16,Chennai,Theft,24,22578,High
2020-05-16,Chennai,Burglary,30,12992,High
2020-05-16,Kolkata,Burglary,19,26587,High
2020-05-16,Delhi,Fraud,47,11614,Medium
2020-05-17,Bengaluru,Theft,17,21804,High
2020-05-17,Bengaluru,Theft,47,12290,Medium
2020-05-17,Delhi,Burglary,34,20089,High
2020-05-17,Chennai,Vandalism,30,5549,Low
2020-05-18,Bengaluru,Vandalism,15,15015,Medium
2020-05-18,Bengaluru,Assault,48,17187,High
2020-05-18,Chennai,Fraud,1,21446,High
2020-05-18,Mumbai,Assault,29,23684,Low
2020-05-19,Chennai,Burglary,33,14668,High
2020-05-19,Chennai,Burglary,26,3223,High
2020-05-19,Kolkata,Fraud,26,17321,Low
2020-05-20,Kolkata,Fraud,6,10144,Low
2020-05-20,Bengaluru,Fraud,31,10348,Low
2020-05-20,Kolkata,Fraud,41,25193,Low
2020-05-20,Mumbai,Vandalism,34,13729,Low
2020-05-20,Delhi,Burglary,18,26188,Medium
2020-05-20,Chennai,Theft,21,22521,Low
2020-05-21,Bengaluru,Theft,34,17513,Medium
2020-05-21,Delhi,Burglary,21,18916,Low
2020-05-21,Mumbai,Theft,21,15665,Medium
2020-05-22,Bengaluru,Fraud,48,6349,Low
2020-05-22,Chennai,Burglary,8,2249,Medium
2020-05-22,Chennai,Vandalism,24,26793,Low
2020-05-22,Bengaluru,Vandalism,16,26382,High
2020-05-22,Delhi,Theft,17,20795,Medium
2020-05-23,Delhi,Vandalism,35,15932,Medium
2020-05-23,Bengaluru,Burglary,30,23446,High
2020-05-23,Bengaluru,Burglary,34,3196,High
2020-05-24,Chennai,Theft,25,19657,Low
2020-05-24,Chennai,Fraud,32,29864,High
2020-05-25,Delhi,Fraud,3,4255,Medium
2020-05-25,Kolkata,Fraud,14,22337,High
2020-05-25,Chennai,Burglary,33,22371,Low
2020-05-26,Delhi,Assault,40,22387,Medium
2020-05-26,Kolkata,Assault,14,3922,Low
2020-05-26,Delhi,Fraud,33,20895,Low
2020-05-26,Chennai,Burglary,25,22568,Low
2020-05-26,Kolkata,Theft,24,29554,Low
2020-05-27,Mumbai,Theft,5,28715,Low
2020-05-27,Mumbai,Theft,39,27001,Low
2020-05-27,Mumbai,Assault,38,17093,Low
2020-05-28,Bengaluru,Assault,14,9353,Medium
2020-05-28,Kolkata,Theft,29,15727,High
2020-05-28,Bengaluru,Assault,14,10585,Medium
2020-05-28,Mumbai,Vandalism,7,18477,Medium
2020-05-28,Chennai,Fraud,20,1881,Low
2020-05-28,Mumbai,Burglary,21,22185,Medium
2020-05-29,Bengaluru,Vandalism,39,18986,Medium
2020-05-30,Bengaluru,Vandalism,43,29110,Medium
2020-05-30,Delhi,Assault,11,2602,Low
2020-05-30,Delhi,Theft,39,1037,Low
2020-05-30,Delhi,Vandalism,48,17373,Low
2020-05-31,Bengaluru,Fraud,45,5099,High
2020-05-31,Mumbai,Burglary,10,17004,Medium
2020-05-31,Chennai,Burglary,20,18046,Medium
2020-06-01,Chennai,Theft,18,2978,Low
2020-06-01,Mumbai,Vandalism,19,16562,Medium
2020-06-01,Kolkata,Assault,43,19277,High
2020-06-02,Mumbai,Vandalism,47,21962,High
2020-06-02,Chennai,Assault,31,17562,Low
2020-06-02,Bengaluru,Assault,17,16208,High
2020-06-02,Delhi,Vandalism,30,14346,High
2020-06-02,Mumbai,Theft,20,7919,High
2020-06-02,Bengaluru,Assault,30,23993,High
2020-06-02,Mumbai,Assault,8,28618,High
2020-06-02,Bengaluru,Vandalism,45,2753,High
2020-06-03,Bengaluru,Assault,49,20481,Low
2020-06-03,Chennai,Assault,23,11966,Low
2020-06-03,Delhi,Theft,49,26701,Low
2020-06-04,Bengaluru,Assault,28,2745,Medium
2020-06-04,Delhi,Assault,39,10033,Medium
2020-06-04,Bengaluru,Theft,44,16762,Low
2020-06-04,Mumbai,Theft,38,29767,High
2020-06-04,Delhi,Assault,41,14229,Medium
2020-06-05,Kolkata,Vandalism,19,2967,Low
2020-06-05,Delhi,Fraud,35,3934,High
2020-06-05,Bengaluru,Assault,48,13059,Low
2020-06-06,Mumbai,Vandalism,43,13667,Medium
2020-06-07,Delhi,Fraud,42,3590,High
2020-06-07,Delhi,Fraud,20,26852,Medium
2020-06-07,Chennai,Assault,48,25289,Medium
2020-06-07,Chennai,Vandalism,4,2153,High
2020-06-08,Bengaluru,Fraud,3,11768,Medium
2020-06-08,Delhi,Assault,13,4624,High
2020-06-08,Delhi,Burglary,23,6404,Medium
2020-06-08,Bengaluru,Assault,8,11974,Low
2020-06-08,Mumbai,Burglary,21,11773,High
2020-06-08,Kolkata,Fraud,1,17624,Medium
2020-06-09,Mumbai,Vandalism,44,4352,High
2020-06-09,Bengaluru,Theft,17,9064,Medium
2020-06-09,Chennai,Vandalism,13,6831,Medium
2020-06-09,Kolkata,Vandalism,36,24320,High
